,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,categories,url
1081,1992,Haileybury Heritage Museum,"575 Main St, Temiskaming Shores, Ontario",47.448993,-79.6373419,"575 Main St, Temiskaming Shores, Ontario P0J 1K0 Canada",T1081,4.5,"['Speciality Museums', 'Speciality Museums']",https://www.tripadvisor.ca/Attraction_Review-g183459-d1153716-Reviews-Haileybury_Heritage_Museum-Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1082,1993,The Cobalt Classic Theatre,"30 Silver St, Cobalt, Ontario",47.3952717,-79.6857716,"30 Silver St, Cobalt, Temiskaming Shores, Ontario P0J 1C0 Canada",T1082,4.6,"['Theatres', 'Theatres']",https://www.tripadvisor.ca/Attraction_Review-g1116703-d1153718-Reviews-The_Cobalt_Classic_Theatre-Cobalt_Temiskaming_Shores_Northeastern_Ontario_Ontari.html
1083,1994,Pete's Dam Trail,"Pete's Dam Road, Temiskaming Shores, Ontario",47.5229458,-79.7392947,"Pete's Dam Road, Temiskaming Shores, Ontario P0J 1P0 Canada",T1083,5.0,"['Hiking Trails', 'Hiking Trails']",https://www.tripadvisor.ca/Attraction_Review-g183459-d18344544-Reviews-Pete_s_Dam_Trail-Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1084,1995,North Cobalt Flea Market,"96 King St, Cobalt, Ontario",47.4219371,-79.6458628,"96 King St, Cobalt, Temiskaming Shores, Ontario Canada",T1084,4.5,"['Flea & Street Markets', 'Flea & Street Markets']",https://www.tripadvisor.ca/Attraction_Review-g1116703-d19015320-Reviews-North_Cobalt_Flea_Market-Cobalt_Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1085,1996,Chat Noir Books & Games,"57 Whitewood Ave, New Liskeard, Ontario",47.51198,-79.6963668,"57 Whitewood Ave W, New Liskeard, Temiskaming Shores, Ontario P0J 1P0 Canada",T1085,4.8,"['Gift & Speciality Shops', 'Gift & Speciality Shops']",https://www.tripadvisor.ca/Attraction_Review-g1893213-d10235218-Reviews-Chat_Noir_Books_Games-New_Liskeard_Temiskaming_Shores_Northeastern_Ontario_Onta.html
1086,1997,White Mountain Books,"50 Silver Street, Cobalt, Ontario",47.3952717,-79.6857716,"50 Silver Street, Cobalt, Temiskaming Shores, Ontario P0J 1C0 Canada",T1086,4.7,"['Gift & Speciality Shops', 'Gift & Speciality Shops']",https://www.tripadvisor.ca/Attraction_Review-g1116703-d7717486-Reviews-White_Mountain_Books-Cobalt_Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1087,1998,New Liskeard Golf Club,"804027 Golf Course, New Liskeard, Ontario",47.54220365,-79.68077161714098,"804027 Golf Course Rd, New Liskeard, Temiskaming Shores, Ontario P0J 1P0 Canada",T1087,4.5,"['Golf Courses', 'Golf Courses']",https://www.tripadvisor.ca/Attraction_Review-g1893213-d6855041-Reviews-New_Liskeard_Golf_Club-New_Liskeard_Temiskaming_Shores_Northeastern_Ontario_Onta.html
1088,1999,Haileybury Golf Course,"800 Latchford St, Temiskaming Shores, Ontario",47.4544279,-79.6388598,"800 Latchford St, Temiskaming Shores, Ontario P0J 1K0 Canada",T1088,4.3,"['Golf Courses', 'Golf Courses']",https://www.tripadvisor.ca/Attraction_Review-g183459-d2281815-Reviews-Haileybury_Golf_Course-Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1089,2000,The Silver Moccasin,"36 Silver Street, Cobalt, Ontario",47.3952717,-79.6857716,"36 Silver Street, Cobalt, Temiskaming Shores, Ontario P0J 1C0 Canada",T1089,4.8,"['Gift & Speciality Shops', 'Gift & Speciality Shops']",https://www.tripadvisor.ca/Attraction_Review-g1116703-d10714188-Reviews-The_Silver_Moccasin-Cobalt_Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1090,2001,Temiskaming Art Gallery,"325 Farr Drive, Haileybury, Ontario",47.4408052,-79.6260939,"325 Farr Drive, Haileybury, Temiskaming Shores, Ontario P0J 1K0 Canada",T1090,4.0,"['Art Galleries', 'Art Galleries']",https://www.tripadvisor.ca/Attraction_Review-g4288040-d18341360-Reviews-Temiskaming_Art_Gallery-Haileybury_Temiskaming_Shores_Northeastern_Ontario_Onta.html
