,Unnamed: 0,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,price,categories,diets,url
663,676,1118,Hanami Izakaya,"86 Gordon St, Guelph, Ontario",43.5265895,-80.2244166,"86 Gordon St, Guelph, Ontario N1H 4H6 Canada",R676,4.8,2.5,"['Japanese', 'Sushi']",[],https://www.tripadvisor.ca/Restaurant_Review-g154989-d15813122-Reviews-Hanami_Izakaya-Guelph_Ontario.html
664,677,1119,Sip Club,"91 Wyndham St, Guelph, Ontario",43.54685269251178,-80.24980511566956,"91 Wyndham St N, Guelph, Ontario N1H 4E9 Canada",R677,3.9,2.5,"['Bar', 'Pub', 'Canadian']","['vegan options', 'vegetarian friendly']",https://www.tripadvisor.ca/Restaurant_Review-g154989-d4298279-Reviews-Sip_Club-Guelph_Ontario.html
665,678,1120,The Round Table Board Game Café,"32 Essex St, Guelph, Ontario",43.54122347333333,-80.24913332000001,"32 Essex St, Guelph, Ontario N1H 3K8 Canada",R678,4.8,2.5,['Canadian'],[],https://www.tripadvisor.ca/Restaurant_Review-g154989-d10291996-Reviews-The_Round_Table_Board_Game_Cafe-Guelph_Ontario.html
667,680,1122,Augusta Louise Cafe Bistro,"106 Carden St, Guelph, Ontario",43.545319299999996,-80.24628359999998,"106 Carden St, Guelph, Ontario N1H 3A3 Canada",R680,4.6,1.0,"['American', 'Cafe', 'Mediterranean']",[],https://www.tripadvisor.ca/Restaurant_Review-g154989-d13114074-Reviews-Augusta_Louise_Cafe_Bistro-Guelph_Ontario.html
668,681,1123,Thai Villa,"666 Woolwich St, Guelph, Ontario",43.5590994,-80.2694123,"666 Woolwich St, Guelph, Ontario N1H 7G5 Canada",R681,4.0,1.0,"['Asian', 'Thai', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154989-d2341612-Reviews-Thai_Villa-Guelph_Ontario.html
669,682,1124,NV Kitchen + Bar,"16 Wyndham St, Guelph, Ontario",43.54498600909091,-80.24845441818181,"16 Wyndham St N, Guelph, Ontario N1H 4E5 Canada",R682,4.1,2.5,"['American', 'Bar', 'Pub']",[],https://www.tripadvisor.ca/Restaurant_Review-g154989-d2255090-Reviews-NV_Kitchen_Bar-Guelph_Ontario.html
671,684,1126,Fusion Authentic Indian Cuisine,"96 Gordon St, Guelph, Ontario",43.5265895,-80.2244166,"96 Gordon St, Guelph, Ontario N1H 4H6 Canada",R684,3.9,2.5,"['Indian', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154989-d15677728-Reviews-Fusion_Authentic_Indian_Cuisine-Guelph_Ontario.html
674,687,1129,Shawarma Fusion,"130 Silvercreek Pky, Guelph, Ontario",43.539146200000005,-80.2806944,"130 Silvercreek Pky N, Guelph, Ontario N1H 7Y5 Canada",R687,4.8,1.0,"['Lebanese', 'Fast food', 'Mediterranean']",[],https://www.tripadvisor.ca/Restaurant_Review-g154989-d15636049-Reviews-Shawarma_Fusion-Guelph_Ontario.html
675,688,1130,Beertown Public House Guelph,"433 Stone Road, Guelph, Ontario",43.526658000000005,-80.22457779999999,"433 Stone Road Mall Unit 8, Guelph, Ontario N1G 2X6 Canada",R688,4.4,2.5,"['American', 'Pub', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154989-d19511645-Reviews-Beertown_Public_House_Guelph-Guelph_Ontario.html
680,693,1137,The Argyle St. Grill,"345 Argyle St, Caledonia, Ontario",43.0628009,-79.9612123,"345 Argyle St S, Caledonia, Haldimand, Ontario N3W 1L8 Canada",R693,4.0,2.5,"['American', 'Bar', 'Canadian']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g676142-d1977834-Reviews-The_Argyle_St_Grill-Caledonia_Haldimand_Ontario.html
684,697,1142,Pothos Cafe,"225 Queen St, Dunnville, Ontario",42.902599050000006,-79.61613654768625,"225 Queen St, Dunnville, Haldimand, Ontario N1A 1H8 Canada",R697,4.8,1.0,"['Cafe', 'Canadian', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g793718-d10509799-Reviews-Pothos_Cafe-Dunnville_Haldimand_Ontario.html
685,698,1143,Towne Cafe,"304 Broad St, Dunnville, Ontario",42.90322345,-79.61462800157831,"304 Broad St E, Dunnville, Haldimand, Ontario N1A 1G3 Canada",R698,4.9,1.0,"['Cafe', 'Canadian', 'Soups']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g793718-d11812149-Reviews-Towne_Cafe-Dunnville_Haldimand_Ontario.html
688,701,1147,Wiggie's Pizza Wings & More,"43 Argyle St, Caledonia, Ontario",43.074191,-79.9519261,"43 Argyle St N, Caledonia, Haldimand, Ontario N3W 1B8 Canada",R701,4.1,2.5,"['Bar', 'Pizza', 'Pub']",[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d5084627-Reviews-Wiggie_s_Pizza_Wings_More-Caledonia_Haldimand_Ontario.html
690,703,1149,Jia Xing Restaurant,"68 Argyle St, Caledonia, Ontario",43.07035193461672,-79.95353546429278,"68 Argyle St N, Caledonia, Haldimand, Ontario N3W 1B9 Canada",R703,4.5,1.0,"['Chinese', 'Asian', 'Cantonese']",[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d4868627-Reviews-Jia_Xing_Restaurant-Caledonia_Haldimand_Ontario.html
691,704,1150,Devine's Restaurant,"17 Talbot St, Jarvis, Ontario",42.884431299999996,-80.11393000000001,"17 Talbot St E, Jarvis, Haldimand, Ontario N0A 1J0 Canada",R704,4.0,1.0,"['Diner', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g3834923-d4873512-Reviews-Devine_s_Restaurant-Jarvis_Haldimand_Ontario.html
692,705,1151,Julia's Bistro,"217 Niagara St, Dunnville, Ontario",42.9027176,-79.60765904408078,"217 Niagara St At Broad St, Dunnville, Haldimand, Ontario N1A 2A9 Canada",R705,3.8,2.5,"['Italian', 'Pizza', 'Canadian']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g793718-d8752238-Reviews-Julia_s_Bistro-Dunnville_Haldimand_Ontario.html
693,706,1152,Wally Parr Sausage,"791 Highway 6, Caledonia, Ontario",43.0478158,-79.97463570000001,"791 Highway 6 South 200 yards south of Haldibrook Road, Caledonia, Haldimand, Ontario N3W 1M5 Canada",R706,4.4,2.5,"['American', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d12788353-Reviews-Wally_Parr_Sausage-Caledonia_Haldimand_Ontario.html
694,707,1153,Just Johns,"17 Talbot St, Jarvis, Ontario",42.884431299999996,-80.11393000000001,"17 Talbot St E, Jarvis, Haldimand, Ontario N0A 1J0 Canada",R707,4.0,2.5,"['American', 'Bar', 'Pizza']",[],https://www.tripadvisor.ca/Restaurant_Review-g3834923-d4851175-Reviews-Just_Johns-Jarvis_Haldimand_Ontario.html
695,708,1154,Ye Olde Fisherville Restaurant,"2 Erie Ave, Fisherville, Ontario",42.881259,-79.9041652,"2 Erie Ave S, Fisherville, Haldimand, Ontario N0A 1G0 Canada",R708,4.0,2.5,"['Bar', 'Pub', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g6527806-d8527222-Reviews-Ye_Olde_Fisherville_Restaurant-Fisherville_Haldimand_Ontario.html
696,709,1157,Asian Kitchen,"28 Main St.S., Hagersville, Ontario",42.9610217,-80.05305759999999,"28 Main St.S. Unit B, Hagersville, Haldimand, Ontario Canada",R709,4.3,1.0,"['Chinese', 'Asian']",[],https://www.tripadvisor.ca/Restaurant_Review-g4581335-d12592619-Reviews-Asian_Kitchen-Hagersville_Haldimand_Ontario.html
697,710,1160,Knowles Restaurant,"174 Queen St, Dunnville, Ontario",42.902413200000005,-79.6170535,"174 Queen St, Dunnville, Haldimand, Ontario N1A 1H7 Canada",R710,3.7,1.0,"['Diner', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g793718-d981843-Reviews-Knowles_Restaurant-Dunnville_Haldimand_Ontario.html
698,711,1162,The Back 40 Family Restaurant & Sports Bar,"7 Cayuga Street, Cayuga, Ontario",42.950516,-79.8544955,"7 Cayuga Street, Cayuga, Haldimand, Ontario N0A 1E0 Canada",R711,3.6,2.5,"['Bar', 'Pub', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g2044824-d4474189-Reviews-The_Back_40_Family_Restaurant_Sports_Bar-Cayuga_Haldimand_Ontario.html
699,712,1163,Caruso's,"35 Talbot St, Cayuga, Ontario",42.95114855,-79.8507247,"35 Talbot St E., Cayuga, Haldimand, Ontario N0A 1E0 Canada",R712,3.6,2.5,['Canadian'],[],https://www.tripadvisor.ca/Restaurant_Review-g2044824-d14184685-Reviews-Caruso_s-Cayuga_Haldimand_Ontario.html
700,713,1164,"Whipper""s Fish N Chips","West End King, Hagersville, Ontario",42.9654426,-80.060969,"West End King St E, Hagersville, Haldimand, Ontario N0A 1H0 Canada",R713,4.8,1.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g4581335-d12215583-Reviews-Whipper_s_Fish_N_Chips-Hagersville_Haldimand_Ontario.html
701,714,1166,Godfathers Pizza - Cayuga,"20 Talbot St, Cayuga, Ontario",42.949808000000004,-79.8582549,"20 Talbot St W, Cayuga, Haldimand, Ontario N1A 1G5 Canada",R714,4.0,1.0,"['Pizza', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g2044824-d3785468-Reviews-Godfathers_Pizza_Cayuga-Cayuga_Haldimand_Ontario.html
702,715,1167,The Hen House Eatery and Gifts,"3462 Rainham Rd, Nanticoke, Ontario",42.809866299999996,-80.07723259999999,"3462 Rainham Rd, Nanticoke, Haldimand, Ontario N0A 1L0 Canada",R715,5.0,1.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g3248407-d19030664-Reviews-The_Hen_House_Eatery_and_Gifts-Nanticoke_Haldimand_Ontario.html
703,716,1168,Squires Pizza Classic Diner,"210 George St, Dunnville, Ontario",42.906776,-79.629372,"210 George St, Dunnville, Haldimand, Ontario N1A 2T4 Canada",R716,3.6,2.5,"['Bar', 'Pizza', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g793718-d5103204-Reviews-Squires_Pizza_Classic_Diner-Dunnville_Haldimand_Ontario.html
706,719,1171,Tastebudz Pizza,"322 Argyle St, Caledonia, Ontario",43.0625326,-79.95953420000001,"322 Argyle St South, Caledonia, Haldimand, Ontario N0A 1A0 Canada",R719,3.5,1.0,"['Pizza', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d5291869-Reviews-Tastebudz_Pizza-Caledonia_Haldimand_Ontario.html
707,720,1174,Dunnville Deli & Snack Bar,"322 Broad St, Dunnville, Ontario",42.9032107,-79.61386882080262,"322 Broad St E, Dunnville, Haldimand, Ontario N1A 1G3 Canada",R720,3.7,2.5,['Canadian'],[],https://www.tripadvisor.ca/Restaurant_Review-g793718-d975160-Reviews-Dunnville_Deli_Snack_Bar-Dunnville_Haldimand_Ontario.html
708,721,1177,The Golden Spoon,"14 Argyle St, Caledonia, Ontario",43.07328288,-79.95186359,"14 Argyle St N, Caledonia, Haldimand, Ontario N3W 1B6 Canada",R721,4.0,1.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d19121456-Reviews-The_Golden_Spoon-Caledonia_Haldimand_Ontario.html
709,722,1179,Pizza Pizza Ltd,"345 Argyle St, Caledonia, Ontario",43.0628009,-79.9612123,"345 Argyle St S, Caledonia, Haldimand, Ontario N3W 1L8 Canada",R722,3.8,1.0,['Pizza'],[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d4882131-Reviews-Pizza_Pizza_Ltd-Caledonia_Haldimand_Ontario.html
711,724,1183,The Pub Downtown,"223 Queen St, Dunnville, Ontario",42.90255820000001,-79.61625656304633,"223 Queen St, Dunnville, Haldimand, Ontario N1A 1H8 Canada",R724,3.8,2.5,[],[],https://www.tripadvisor.ca/Restaurant_Review-g793718-d12614641-Reviews-The_Pub_Downtown-Dunnville_Haldimand_Ontario.html
712,725,1184,King's Chinese Restaurant,"307 Argyle Street, Caledonia, Ontario",43.064451399999996,-79.9596988,"307 Argyle Street South, Caledonia, Haldimand, Ontario N3W 1K7 Canada",R725,3.4,2.5,"['Chinese', 'Asian', 'Cantonese']",[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d10779006-Reviews-King_s_Chinese_Restaurant-Caledonia_Haldimand_Ontario.html
713,726,1185,Tim Hortons,"51 Talbot Rd, Cayuga, Ontario",42.949096399999995,-79.86010568,"51 Talbot Rd, Cayuga, Haldimand, Ontario N0A 1E0 Canada",R726,3.5,1.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g2044824-d15260918-Reviews-Tim_Hortons-Cayuga_Haldimand_Ontario.html
714,727,1187,grand river parkway diner,"865 Hwy #, Ohsweken, Ontario",43.068735100000005,-80.11799090000001,"865 Hwy # 54, Ohsweken, Ontario N3W 2G9 Canada",R727,4.0,8.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g3654475-d4267073-Reviews-Grand_river_parkway_diner-Ohsweken_Ontario.html
715,728,1188,Little Caesars Pizza,"351 Argyle St, Caledonia, Ontario",43.0845976,-79.94692509999999,"351 Argyle St S, Caledonia, Haldimand, Ontario N3W 1K7 Canada",R728,3.5,5.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d10378983-Reviews-Little_Caesars_Pizza-Caledonia_Haldimand_Ontario.html
716,729,1189,Subway,"2 Talbot St, Cayuga, Ontario",42.95079475,-79.85564880059381,"2 Talbot St E, Cayuga, Haldimand, Ontario N0A 1E0 Canada",R729,3.0,9.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g2044824-d4876326-Reviews-Subway-Cayuga_Haldimand_Ontario.html
717,730,1190,Nessie's Nest,"307 Argyle S., Caledonia, Ontario",43.064451399999996,-79.9596988,"307 Argyle S., Caledonia, Haldimand, Ontario N3W 1K7 Canada",R730,2.9,1.0,"['Seafood', 'Fast food', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d4852876-Reviews-Nessie_s_Nest-Caledonia_Haldimand_Ontario.html
718,731,1191,A&W,"213 Broad St, Dunnville, Ontario",42.90389135,-79.6160555,"213 Broad St E, Dunnville, Haldimand, Ontario N1A 1G1 Canada",R731,2.8,9.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g793718-d10537438-Reviews-A_W-Dunnville_Haldimand_Ontario.html
719,732,1193,Grand Chow Mein House & Tavern,"22 Argyle N, Caledonia, Ontario",43.069203,-79.95463840000001,"22 Argyle N, Caledonia, Haldimand, Ontario N0A 1A0 Canada",R732,2.2,1.0,['Chinese'],[],https://www.tripadvisor.ca/Restaurant_Review-g676142-d766060-Reviews-Grand_Chow_Mein_House_Tavern-Caledonia_Haldimand_Ontario.html
721,734,1195,Binbrook Grill,"3020 Binbrook Rd, Binbrook, Ontario",43.1210049,-79.8047012,"3020 Binbrook Rd, Binbrook, Hamilton, Ontario L0R 1C0 Canada",R734,3.9,2.5,"['American', 'Bar', 'Canadian']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g4270712-d5937103-Reviews-Binbrook_Grill-Binbrook_Hamilton_Ontario.html
722,735,1198,Binbrook Pizza Pasta & More,"2520 Hwy 56, Binbrook, Ontario",43.12485268888413,-79.80306441146216,"2520 Hwy 56 New Location, Binbrook, Hamilton, Ontario L0R 1C0 Canada",R735,4.4,2.5,"['Pizza', 'Canadian', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g4270712-d4879520-Reviews-Binbrook_Pizza_Pasta_More-Binbrook_Hamilton_Ontario.html
723,736,1203,Binbrook Pizza,"2668 Binbrook Road, Hamilton, Ontario",43.120901200000006,-79.8042437,"2668 Binbrook Road East # 102, Hamilton, Ontario L0R 1C0 Canada",R736,4.1,1.0,['Pizza'],[],https://www.tripadvisor.ca/Restaurant_Review-g154990-d4849487-Reviews-Binbrook_Pizza-Hamilton_Ontario.html
724,737,1204,Paros Greek Food,"2537 Hamilton Regional, Binbrook, Ontario",43.12173455,-79.80373992293214,"2537 Hamilton Regional Road 56, Binbrook, Hamilton, Ontario L0R 1C0 Canada",R737,3.8,1.0,['Greek'],[],https://www.tripadvisor.ca/Restaurant_Review-g4270712-d15139462-Reviews-Paros_Greek_Food-Binbrook_Hamilton_Ontario.html
726,739,1207,Checkered Flag Bar & Grill,"3761 Hwy 6, Mount Hope, Ontario",43.1548231,-79.93180459999999,"3761 Hwy 6, Mount Hope, Hamilton, Ontario L0R 1W0 Canada",R739,3.8,2.5,"['Bar', 'Pub', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g499278-d5309030-Reviews-Checkered_Flag_Bar_Grill-Mount_Hope_Hamilton_Ontario.html
735,748,1220,Cascata Bistro,"281 Carlisle Rd, Hamilton, Ontario",43.3944461,-79.9805203,"281 Carlisle Rd Carlisle, Hamilton, Ontario Canada",R748,4.6,2.5,"['Canadian', 'Vegetarian Friendly', 'Vegan Options']",[],https://www.tripadvisor.ca/Restaurant_Review-g154990-d3963500-Reviews-Cascata_Bistro-Hamilton_Ontario.html
736,749,1221,Brux House,"137 Locke St, Hamilton, Ontario",43.2653545,-79.8816361,"137 Locke St S, Hamilton, Ontario L8P 4A7 Canada",R749,4.5,2.5,"['Bar', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d7295363-Reviews-Brux_House-Hamilton_Ontario.html
748,761,1234,The Keg Steakhouse + Bar Waterdown,"36 Horseshoe Cres, Waterdown, Ontario",43.3497472,-79.88362875587724,"36 Horseshoe Cres, Waterdown, Hamilton, Ontario L8B 0Y2 Canada",R761,4.4,2.5,"['Steakhouse', 'Bar', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g3205099-d4222412-Reviews-The_Keg_Steakhouse_Bar_Waterdown-Waterdown_Hamilton_Ontario.html
750,763,1236,Marciano's Pasta Cafe,"5 Mill Street, Hamilton, Ontario",43.4025032,-80.04017950000001,"5 Mill Street South, Hamilton, Ontario L0R 2H0 Canada",R763,4.5,2.5,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",[],https://www.tripadvisor.ca/Restaurant_Review-g154990-d2356255-Reviews-Marciano_s_Pasta_Cafe-Hamilton_Ontario.html
756,769,1243,Coach & Lantern,"384 Wilson St, Ancaster, Ontario",43.204823,-79.9988429,"384 Wilson St E, Ancaster, Hamilton, Ontario L9G 2C2 Canada",R769,4.0,2.5,"['Bar', 'British', 'Pub']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g499248-d703422-Reviews-Coach_Lantern-Ancaster_Hamilton_Ontario.html
757,770,1244,Bombay Touch,"800 Queenston Rd, Stoney Creek, Ontario",43.228011200000005,-79.7646173,"800 Queenston Rd #16, Stoney Creek, Hamilton, Ontario L8G 1A7 Canada",R770,4.4,2.5,"['Indian', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g3404947-d6641984-Reviews-Bombay_Touch-Stoney_Creek_Hamilton_Ontario.html
758,771,1245,Hambrgr Ottawa St.,"207 Ottawa St, Hamilton, Ontario",43.248354799999994,-79.8176124,"207 Ottawa St N, Hamilton, Ontario L8H 3Z4 Canada",R771,4.5,2.5,"['Bar', 'Pub', 'Canadian']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d12251630-Reviews-Hambrgr_Ottawa_St-Hamilton_Ontario.html
765,778,1253,Mezcal Tacos & Tequila,"150 James St, Hamilton, Ontario",43.269457200000005,-79.96902440000001,"150 James St S, Hamilton, Ontario L8P 3A2 Canada",R778,4.1,2.5,"['Mexican', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d7913139-Reviews-Mezcal_Tacos_Tequila-Hamilton_Ontario.html
774,787,1262,Burnt Tongue,"182 Locke St, Hamilton, Ontario",43.2653545,-79.8816361,"182 Locke St S, Hamilton, Ontario L8P 4B3 Canada",R787,4.6,2.5,"['Canadian', 'Soups', 'Vegetarian Friendly']",[],https://www.tripadvisor.ca/Restaurant_Review-g154990-d10472742-Reviews-Burnt_Tongue-Hamilton_Ontario.html
785,798,1277,Mountain Grill Fine Indian Cuisine,"1065 Highway 8, Stoney Creek, Ontario",43.2216882,-79.7367444,"1065 Highway 8, Stoney Creek, Hamilton, Ontario L8E 5H8 Canada",R798,4.5,2.5,"['Indian', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g3404947-d10317476-Reviews-Mountain_Grill_Fine_Indian_Cuisine-Stoney_Creek_Hamilton_Ontario.html
787,800,1280,Democracy,"202 Locke St, Hamilton, Ontario",43.2653545,-79.8816361,"202 Locke St S, Hamilton, Ontario L8P 4B4 Canada",R800,4.2,2.5,"['Cafe', 'Healthy', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154990-d4834321-Reviews-Democracy-Hamilton_Ontario.html
789,802,1282,Merk Snack Bar,"187 Ottawa St, Hamilton, Ontario",43.23747556666667,-79.82157493333334,"187 Ottawa St N, Hamilton, Ontario L8H 3Z4 Canada",R802,4.7,2.5,"['Bar', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d7654153-Reviews-Merk_Snack_Bar-Hamilton_Ontario.html
790,803,1283,WASS Ethiopian Restaurant,"207 James St., Hamilton, Ontario",43.269457200000005,-79.96902440000001,"207 James St. South, Hamilton, Ontario L8P 3A8 Canada",R803,4.2,2.5,"['African', 'International', 'Healthy']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d2090680-Reviews-WASS_Ethiopian_Restaurant-Hamilton_Ontario.html
793,806,1286,Naroma Pizza Bar,"215 Locke St, Hamilton, Ontario",43.2653545,-79.8816361,"215 Locke St S, Hamilton, Ontario L8P 4B6 Canada",R806,4.1,2.5,"['Italian', 'Pizza', 'Canadian']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d5107505-Reviews-Naroma_Pizza_Bar-Hamilton_Ontario.html
794,807,1288,Ye Olde Squire Upper James,"1508 Upper James, Hamilton, Ontario",43.2055268,-79.89288309999999,"1508 Upper James St, Hamilton, Ontario L9B 1K3 Canada",R807,4.1,2.5,"['Bar', 'British', 'Pub']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d9594846-Reviews-Ye_Olde_Squire_Upper_James-Hamilton_Ontario.html
795,808,1289,Fisher's Pier 4 Pub & Grub,"554 James St, Hamilton, Ontario",43.269457200000005,-79.96902440000001,"554 James St N, Hamilton, Ontario L8L 1J5 Canada",R808,4.3,2.5,"['Bar', 'Pub', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154990-d981748-Reviews-Fisher_s_Pier_4_Pub_Grub-Hamilton_Ontario.html
798,811,1292,Saint James Espresso Bar and Eatery,"170 James St, Hamilton, Ontario",43.269457200000005,-79.96902440000001,"170 James St N, Hamilton, Ontario L8R 2L1 Canada",R811,4.5,2.5,"['Cafe', 'Canadian', 'Vegetarian Friendly']","['vegan options', 'gluten free options', 'vegetarian friendly']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d8854604-Reviews-Saint_James_Espresso_Bar_and_Eatery-Hamilton_Ontario.html
803,816,1297,Curbside Grill,"224 Ottawa St, Hamilton, Ontario",43.2366393,-79.8222886,"224 Ottawa St N, Hamilton, Ontario L8H 3Z6 Canada",R816,4.4,2.5,"['American', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154990-d10139372-Reviews-Curbside_Grill-Hamilton_Ontario.html
812,825,1307,Symposium Cafe Restaurant & Lounge,"449 Kent St, Lindsay, Ontario",44.3484716,-78.764954,"449 Kent St W, Lindsay, Kawartha Lakes, Ontario K9V 6C3 Canada",R825,4.2,2.5,"['Bar', 'Contemporary', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g660799-d10243722-Reviews-Symposium_Cafe_Restaurant_Lounge-Lindsay_Kawartha_Lakes_Ontario.html
821,834,1316,Orchid Thai Bistro,"12 May Street, Fenelon Falls, Ontario",44.536711,-78.7381435,"12 May Street, Fenelon Falls, Kawartha Lakes, Ontario K0M 1N0 Canada",R834,4.4,2.5,"['Asian', 'Thai', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g796987-d3683354-Reviews-Orchid_Thai_Bistro-Fenelon_Falls_Kawartha_Lakes_Ontario.html
823,836,1318,Corner Bites Eatery,"169 Kent St, Lindsay, Ontario",44.3543997,-78.7394786,"169 Kent St W, Lindsay, Kawartha Lakes, Ontario K9V 2Y7 Canada",R836,4.7,1.0,"['Cafe', 'Canadian', 'Soups']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g660799-d13335186-Reviews-Corner_Bites_Eatery-Lindsay_Kawartha_Lakes_Ontario.html
825,838,1320,Ziraldo's Italian Restaurant,"21 Francis St, Fenelon Falls, Ontario",44.5375342,-78.73785229999999,"21 Francis St W, Fenelon Falls, Kawartha Lakes, Ontario K0M 1N0 Canada",R838,4.8,2.5,"['Italian', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g796987-d14791997-Reviews-Ziraldo_s_Italian_Restaurant-Fenelon_Falls_Kawartha_Lakes_Ontario.html
828,841,1324,Fresh FueLL,"146 Kent St, Lindsay, Ontario",44.354638935897434,-78.73913454615384,"146 Kent St W, Lindsay, Kawartha Lakes, Ontario K9V 2Y4 Canada",R841,4.7,2.5,"['Fast food', 'Contemporary', 'Healthy']",[],https://www.tripadvisor.ca/Restaurant_Review-g660799-d10268460-Reviews-Fresh_FueLL-Lindsay_Kawartha_Lakes_Ontario.html
829,842,1325,Full Cup Cafe,"50 Main St, Bobcaygeon, Ontario",44.540914312828825,-78.5463798325292,"50 Main St, Bobcaygeon, Kawartha Lakes, Ontario Canada",R842,4.0,2.5,"['Cafe', 'Diner', 'Canadian']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g796988-d981757-Reviews-Full_Cup_Cafe-Bobcaygeon_Kawartha_Lakes_Ontario.html
832,845,1330,Pie Eyed Monk,"8 Cambridge St, Lindsay, Ontario",44.3550859,-78.7393578,"8 Cambridge St N, Lindsay, Kawartha Lakes, Ontario K9V 4C3 Canada",R845,3.8,2.5,"['Brew Pub', 'Bar', 'Pizza']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g660799-d14994882-Reviews-Pie_Eyed_Monk-Lindsay_Kawartha_Lakes_Ontario.html
833,846,1331,Boston Pizza,"435 Kent St, Lindsay, Ontario",44.3487599256004,-78.76500174948713,"435 Kent St W, Lindsay, Kawartha Lakes, Ontario K9V 6C3 Canada",R846,3.9,2.5,"['Bar', 'Pizza', 'Canadian']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g660799-d2530087-Reviews-Boston_Pizza-Lindsay_Kawartha_Lakes_Ontario.html
