,Unnamed: 0,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,price,categories,diets,url
43,43,48,Chaopaya Thai Restaurant,"168 Dunlop St, Barrie, Ontario",44.3795395,-79.7113748,"168 Dunlop St E, Barrie, Ontario L4M 1B3 Canada",R43,4.3,2.5,"['Asian', 'Thai', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d2589651-Reviews-Chaopaya_Thai_Restaurant-Barrie_Ontario.html
44,44,51,Flashback Diner,"309 Bayfield St, Barrie, Ontario",44.400678275,-79.69973865833333,"309 Bayfield St, Barrie, Ontario L4M 3C2 Canada",R44,4.1,1.0,"['American', 'Diner', 'Canadian']",['gluten free options'],https://www.tripadvisor.ca/Restaurant_Review-g154980-d4755332-Reviews-Flashback_Diner-Barrie_Ontario.html
49,49,56,The Lockeroom Sports Bar & Grill,"201 Cundles Rd, Barrie, Ontario",44.411599200000005,-79.68673359999998,"201 Cundles Rd E, Barrie, Ontario L4M 4S5 Canada",R49,4.4,2.5,"['American', 'Bar', 'Pub']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d942549-Reviews-The_Lockeroom_Sports_Bar_Grill-Barrie_Ontario.html
50,50,57,Paezano's Pizza,"420 Leacock Dr, Barrie, Ontario",44.391691200000004,-79.7227075,"420 Leacock Dr, Barrie, Ontario L4N 5G5 Canada",R50,4.5,1.0,"['Italian', 'Pizza', 'Fast food']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d4879347-Reviews-Paezano_s_Pizza-Barrie_Ontario.html
51,51,58,Simmering Kettle,"531 Bryne Dr, Barrie, Ontario",44.330315024623154,-79.68836137060427,"531 Bryne Dr, Barrie, Ontario L4N 9P7 Canada",R51,4.1,2.5,"['American', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d8753335-Reviews-Simmering_Kettle-Barrie_Ontario.html
52,52,60,The Italian Bakery,"200 Wellington Street, Barrie, Ontario",44.3856578,-79.70701269999999,"200 Wellington Street West, Barrie, Ontario L4N 1K9 Canada",R52,4.1,2.5,"['Italian', 'Pizza', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154980-d4098273-Reviews-The_Italian_Bakery-Barrie_Ontario.html
53,53,61,Moose Winooskis,"407 Bayfield St., Barrie, Ontario",44.4083378,-79.70583403744348,"407 Bayfield St., Barrie, Ontario L4M 3C5 Canada",R53,3.6,2.5,"['American', 'Bar', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d809316-Reviews-Moose_Winooskis-Barrie_Ontario.html
54,54,63,Linda's Eating Place,"1027 Bayfield St, Barrie, Ontario",44.4108455,-79.7087312,"1027 Bayfield St N Midhurst, Barrie, Ontario L0L 1X1 Canada",R54,4.4,1.0,"['Diner', 'Canadian', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d976251-Reviews-Linda_s_Eating_Place-Barrie_Ontario.html
59,59,68,Arabesque Foods Of-Middle East,"43 Maple Ave, Barrie, Ontario",44.38915438255675,-79.6914363603055,"43 Maple Ave, Barrie, Ontario L4N 1R9 Canada",R59,4.6,2.5,"['Middle Eastern', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d765651-Reviews-Arabesque_Foods_Of_Middle_East-Barrie_Ontario.html
60,60,69,Thai Bamboo,"67 King St, Barrie, Ontario",44.32798711333334,-79.7045087,"67 King St Unit 21, Barrie, Ontario L4N 6B5 Canada",R60,4.0,2.5,"['Asian', 'Thai', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d2082650-Reviews-Thai_Bamboo-Barrie_Ontario.html
